Name,canon,dept,rank,cohort,POST_2010,delay_yrs,Fast,AI,AI_corr,PHD_from_FEBA,Scopus_all,log_scopus,gender,deg_strength,eigen,katz,in_giant,z_deg_strength,z_eigen,z_katz
д-р Иван Ангелов,Иван Ангелов,BA,Доц.,2018.0,1,0.6680355920602327,1,1.0,1.0,YES,0.0,0.0,1.0,1.5,0.14737387965118962,0.11914293183381337,1,0.0,1.3267431504309835,0.9159431574695748
д-р Иванка Михайлова,Иванка Михайлова,BA,Доц.,2018.0,1,-8.451745379876797,1,1.0,1.0,YES,1.0,0.6931471805599453,0.0,1.5,0.27012109180220634,0.1744985635523711,1,0.0,2.8520234829474065,2.0777514373450225
 д-р Рая Каназирева,Рая Каназирева,BA,Доц.,2015.0,1,1.4537987679671458,0,1.0,0.0,YES,3.0,1.3862943611198906,0.0,1.5,0.2090739626569324,0.14604076497279478,1,0.0,2.0934401814601378,1.4804769597475522
 д-р Кирил Величков,Кирил Величков,BA,Гл. ас.,2004.0,0,19.526351813826146,0,0.0,0.0,NO,0.0,0.0,1.0,1.5,0.0,0.045013420328787676,0,0.0,-0.5045528620767835,-0.6398927633910005
д-р Ирена Младенова,Ирена Младенова,BA,Гл. ас.,2010.0,1,13.103353867214237,0,1.0,0.0,YES,9.0,2.302585092994046,0.0,1.5,0.10539061770544848,0.09544677975839892,1,0.0,0.80505110856253,0.4186064849811123
 д-р Алексей Потебня,Алексей Потебня,BA,Гл. ас.,2023.0,1,-1.8781656399726214,1,1.0,1.0,YES,2.0,1.0986122886681098,1.0,1.5,0.032324025832992674,0.06621349842190115,1,0.0,-0.10288833538954223,-0.19494388469672866
д-р Златина Михайлова,Златина Михайлова,BA,Ас.,2021.0,1,3.3045859000684463,0,1.0,0.0,YES,0.0,0.0,0.0,1.5,0.15703164972185013,0.12167957549668432,1,0.0,1.4467524482928429,0.9691824308573455
д-р Николета Войнова,Николета Войнова,BA,Ас.,2026.0,1,-0.36413415468856947,1,0.0,0.0,NO,0.0,0.0,0.0,1.5,0.0,0.04370978315500325,0,0.0,-0.5045528620767835,-0.6672536012214976
Жанет Найденова,Жанет Найденова,BA,Ас.,2028.0,1,-4.996577686516085,1,1.0,1.0,YES,0.0,0.0,0.0,0.0,0.0,0.02584757775482408,0,-1.5874507866387544,-0.5045528620767835,-1.042146949675634
Ния Колева-Иванова,Ния Колева-Иванова,BA,Ас.,2029.0,1,-4.996577686516085,1,1.0,1.0,YES,0.0,0.0,0.0,0.0,0.0,0.02584757775482408,0,-1.5874507866387544,-0.5045528620767835,-1.042146949675634
